['0.043816', '0.005879', '0.003142', '0.012539', '0.003178', '0.006165', '0.003054', '0.012608', '0.002949', '0.002198', '0.002316', '0.004141', '0.003723', '0.002869', '0.002731', '0.003799', '0.003677', '0.001997', '0.004715', '0.002085', '0.001873', '0.002479', '0.005624', '0.002349', '0.002569', '0.001630', '0.003360', '0.004432', '0.001017', '0.001271', '0.004113', '0.003581', '0.001695', '0.001754', '0.000973', '0.002473', '0.001223', '0.001303', '0.001238', '0.002731', '0.001225', '0.001286', '0.001166', '0.000950', '0.001105', '0.001345', '0.001240', '0.001332', '0.001256', '0.001206', '0.003155', '0.001147', '0.002746', '0.001315', '0.003174', '0.001368', '0.002731', '0.716404', '0.076992']
['0.045595', '0.005806', '0.003401', '0.017128', '0.003372', '0.006354', '0.003513', '0.013319', '0.002521', '0.002080', '0.002486', '0.004454', '0.004328', '0.003365', '0.002975', '0.004331', '0.004051', '0.002422', '0.004946', '0.002360', '0.002009', '0.002860', '0.006692', '0.002460', '0.002821', '0.001636', '0.004676', '0.004460', '0.001304', '0.001488', '0.004914', '0.004173', '0.001855', '0.001955', '0.001356', '0.002653', '0.001404', '0.001497', '0.001633', '0.003281', '0.001375', '0.001417', '0.001217', '0.001008', '0.001140', '0.001452', '0.001581', '0.001449', '0.001452', '0.001443', '0.003056', '0.001208', '0.002718', '0.001446', '0.003626', '0.001575', '0.002885', '0.688540', '0.081968']
['0.050978', '0.005729', '0.003521', '0.021772', '0.003839', '0.006527', '0.004010', '0.019225', '0.003193', '0.002545', '0.002677', '0.004830', '0.004945', '0.003855', '0.003458', '0.004620', '0.004727', '0.002688', '0.007556', '0.002666', '0.001832', '0.003328', '0.010379', '0.002765', '0.002641', '0.001667', '0.007551', '0.006891', '0.001104', '0.001322', '0.008194', '0.006201', '0.001692', '0.002084', '0.001187', '0.004432', '0.001413', '0.001281', '0.001741', '0.005864', '0.001510', '0.001534', '0.001311', '0.001109', '0.001278', '0.001587', '0.001672', '0.001766', '0.001559', '0.001628', '0.004129', '0.001338', '0.003052', '0.001576', '0.004399', '0.001816', '0.003386', '0.626554', '0.097141']
['0.046520', '0.006043', '0.003044', '0.013416', '0.003497', '0.006242', '0.003230', '0.012575', '0.003144', '0.002272', '0.002509', '0.003959', '0.003936', '0.002789', '0.002706', '0.003893', '0.003899', '0.002124', '0.004609', '0.002586', '0.001938', '0.002402', '0.005589', '0.002535', '0.002575', '0.001390', '0.003523', '0.004898', '0.001144', '0.001410', '0.003934', '0.004278', '0.001671', '0.001857', '0.001181', '0.002105', '0.001300', '0.001243', '0.001390', '0.002729', '0.001318', '0.001330', '0.001174', '0.001050', '0.001084', '0.001363', '0.001373', '0.001360', '0.001191', '0.001392', '0.003268', '0.001226', '0.002687', '0.001294', '0.003373', '0.001450', '0.002862', '0.708279', '0.077180']
['0.050765', '0.006106', '0.003679', '0.015850', '0.003902', '0.007002', '0.003700', '0.014571', '0.003450', '0.002617', '0.002849', '0.004625', '0.004551', '0.003430', '0.003270', '0.004426', '0.004406', '0.002576', '0.005893', '0.002838', '0.001867', '0.002954', '0.006906', '0.002902', '0.002666', '0.001567', '0.004633', '0.005500', '0.001201', '0.001353', '0.005235', '0.004862', '0.001812', '0.001978', '0.001215', '0.003228', '0.001352', '0.001385', '0.001520', '0.003679', '0.001438', '0.001371', '0.001324', '0.001077', '0.001250', '0.001470', '0.001583', '0.001621', '0.001387', '0.001543', '0.003496', '0.001379', '0.003013', '0.001522', '0.003641', '0.001710', '0.003321', '0.668428', '0.088356']
['0.022218', '0.003418', '0.001647', '0.004179', '0.001755', '0.003691', '0.001697', '0.003451', '0.001501', '0.001058', '0.001152', '0.001699', '0.001637', '0.001372', '0.001281', '0.001558', '0.001480', '0.000972', '0.001137', '0.000974', '0.001133', '0.001015', '0.001358', '0.001037', '0.001257', '0.000649', '0.000886', '0.001136', '0.000560', '0.000663', '0.000984', '0.001082', '0.000746', '0.000713', '0.000424', '0.000522', '0.000497', '0.000668', '0.000495', '0.000573', '0.000450', '0.000369', '0.000372', '0.000351', '0.000329', '0.000418', '0.000459', '0.000389', '0.000421', '0.000328', '0.000808', '0.000332', '0.000888', '0.000340', '0.000866', '0.000316', '0.000938', '0.883995', '0.031015']
['0.020860', '0.003216', '0.001555', '0.004883', '0.001759', '0.003227', '0.001552', '0.004066', '0.001448', '0.000994', '0.001240', '0.001886', '0.001703', '0.001432', '0.001226', '0.001547', '0.001672', '0.001032', '0.001434', '0.001124', '0.001058', '0.001124', '0.001840', '0.001130', '0.001384', '0.000770', '0.001060', '0.001263', '0.000642', '0.000707', '0.001249', '0.001179', '0.000887', '0.000824', '0.000468', '0.000680', '0.000541', '0.000687', '0.000645', '0.000842', '0.000487', '0.000403', '0.000441', '0.000380', '0.000364', '0.000501', '0.000499', '0.000496', '0.000406', '0.000371', '0.000972', '0.000376', '0.001012', '0.000385', '0.000981', '0.000439', '0.001005', '0.880228', '0.031451']
['0.046265', '0.005207', '0.003200', '0.016620', '0.003440', '0.006061', '0.003124', '0.014609', '0.002973', '0.002286', '0.002427', '0.004594', '0.004721', '0.002892', '0.002827', '0.004162', '0.004294', '0.002513', '0.005340', '0.002278', '0.001840', '0.002643', '0.006759', '0.002600', '0.002673', '0.001427', '0.004262', '0.004983', '0.001119', '0.001408', '0.004567', '0.004372', '0.001540', '0.001651', '0.001238', '0.002705', '0.001189', '0.001208', '0.001492', '0.003170', '0.001224', '0.001338', '0.001246', '0.000981', '0.000981', '0.001446', '0.001421', '0.001321', '0.001130', '0.001157', '0.003221', '0.001113', '0.002270', '0.001135', '0.003632', '0.001348', '0.002478', '0.697961', '0.077296']
['0.048710', '0.005341', '0.003365', '0.018081', '0.003585', '0.006318', '0.003547', '0.017501', '0.003302', '0.002643', '0.002603', '0.004681', '0.004951', '0.003387', '0.003185', '0.004641', '0.004427', '0.002773', '0.007074', '0.002413', '0.001854', '0.003237', '0.008703', '0.002793', '0.002703', '0.001644', '0.005873', '0.006515', '0.001084', '0.001474', '0.006185', '0.005583', '0.001621', '0.001764', '0.001351', '0.003942', '0.001262', '0.001222', '0.001956', '0.004579', '0.001341', '0.001311', '0.001346', '0.001139', '0.001197', '0.001501', '0.001516', '0.001661', '0.001434', '0.001269', '0.003610', '0.001177', '0.002501', '0.001242', '0.003712', '0.001319', '0.002850', '0.661564', '0.086163']
['0.014303', '0.001247', '0.001163', '0.009089', '0.001317', '0.001630', '0.001183', '0.005338', '0.001004', '0.000745', '0.000817', '0.002307', '0.002239', '0.001239', '0.001126', '0.001975', '0.001961', '0.001218', '0.001910', '0.001362', '0.000634', '0.001313', '0.002984', '0.001488', '0.000953', '0.000533', '0.002652', '0.002994', '0.000434', '0.000490', '0.002967', '0.002611', '0.000673', '0.000409', '0.000438', '0.000986', '0.000591', '0.000352', '0.000751', '0.001290', '0.000593', '0.000393', '0.000379', '0.000165', '0.000239', '0.000412', '0.000473', '0.000391', '0.000329', '0.000239', '0.000728', '0.000206', '0.000288', '0.000169', '0.000916', '0.000257', '0.000420', '0.889543', '0.021628']
['0.019425', '0.001885', '0.001605', '0.010180', '0.001683', '0.002389', '0.001743', '0.007133', '0.001240', '0.000936', '0.001080', '0.002789', '0.002809', '0.001671', '0.001463', '0.002309', '0.002405', '0.001685', '0.002581', '0.001380', '0.000960', '0.001865', '0.003736', '0.001712', '0.001340', '0.001158', '0.003259', '0.003163', '0.000627', '0.000983', '0.003725', '0.002927', '0.000962', '0.000778', '0.000707', '0.001391', '0.000571', '0.000662', '0.001171', '0.001663', '0.000778', '0.000533', '0.000578', '0.000316', '0.000351', '0.000642', '0.000703', '0.000578', '0.000493', '0.000360', '0.001136', '0.000325', '0.000665', '0.000376', '0.001483', '0.000453', '0.000843', '0.853711', '0.030816']
['0.018014', '0.001873', '0.001528', '0.008252', '0.001776', '0.002494', '0.001578', '0.005268', '0.001392', '0.000983', '0.001093', '0.002550', '0.002444', '0.001585', '0.001490', '0.002145', '0.002016', '0.001626', '0.001993', '0.001376', '0.001023', '0.001583', '0.002879', '0.001830', '0.001509', '0.000860', '0.002199', '0.003106', '0.000595', '0.000876', '0.002340', '0.002846', '0.001059', '0.000756', '0.000525', '0.000898', '0.000673', '0.000621', '0.000942', '0.001165', '0.000763', '0.000577', '0.000473', '0.000318', '0.000322', '0.000598', '0.000708', '0.000497', '0.000466', '0.000391', '0.000908', '0.000309', '0.000654', '0.000349', '0.001203', '0.000460', '0.000860', '0.870753', '0.027119']
